No_facc         ,Falta_fac ,Tiponcc     ,Cve_prov,Saldo_fac           ,Nom_prov                                                                                                                                                                                                                                                      ,Falta_prov,Lim_cre     ,Dia_cre,Tels                           ,Cve_mon   ,U_tip_cam ,Des_mon                                                                         ,Ident,Grup,Post,Fech_venci,Tiponota    ,Cve_comp  ,Nom_comp                                ,Total_fac           ,Afectbanco,Fenmarca,Total1              ,Total2              ,Total3              ,Total4              ,Total5              ,Concepto       ,Cve_iva   ,No_pedc   ,No_facc_ext001  
28679,17/10/2023,            ,16,2061.9,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0362,DOLARES                                                                         ,FAC  ,1,0,16/12/2023,            ,10,Jessica Fonseca                         ,2061.9,F         ,0,0,0,0,0,37188.84078,Factura        ,NAL       ,0,28679
28680,17/10/2023,            ,16,700,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0362,DOLARES                                                                         ,FAC  ,1,0,16/12/2023,            ,10,Jessica Fonseca                         ,700,F         ,0,0,0,0,0,12625.34,Factura        ,NAL       ,0,28680
28681,17/10/2023,            ,16,3600,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0362,DOLARES                                                                         ,FAC  ,1,0,16/12/2023,            ,10,Jessica Fonseca                         ,3600,F         ,0,0,0,0,0,64930.32,Factura        ,NAL       ,0,28681
28682,17/10/2023,            ,16,3735.2,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0362,DOLARES                                                                         ,FAC  ,1,0,16/12/2023,            ,10,Jessica Fonseca                         ,3735.2,F         ,0,0,0,0,0,67368.81424,Factura        ,NAL       ,0,28682
28755,24/10/2023,            ,16,957,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.2343,DOLARES                                                                         ,FAC  ,1,0,23/12/2023,            ,10,Jessica Fonseca                         ,957,F         ,0,0,0,0,0,17450.2251,Factura        ,NAL       ,0,28755
28756,24/10/2023,            ,16,1832.8,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.2343,DOLARES                                                                         ,FAC  ,1,0,23/12/2023,            ,10,Jessica Fonseca                         ,1832.8,F         ,0,0,0,0,0,33419.82504,Factura        ,NAL       ,0,28756
28817,02/11/2023,            ,16,3150,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0368,DOLARES                                                                         ,FAC  ,1,0,01/01/2024,            ,10,Jessica Fonseca                         ,3150,F         ,0,0,0,0,56815.92,0,Factura        ,NAL       ,0,28817
28818,02/11/2023,            ,16,388.6,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,18.0368,DOLARES                                                                         ,FAC  ,1,0,01/01/2024,            ,10,Jessica Fonseca                         ,388.6,F         ,0,0,0,0,7009.10048,0,Factura        ,NAL       ,0,28818
28920,15/11/2023,            ,16,3150,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.6138,DOLARES                                                                         ,FAC  ,1,0,14/01/2024,            ,10,Jessica Fonseca                         ,3150,F         ,0,0,55483.47,0,0,0,Factura        ,NAL       ,0,28920
28921,15/11/2023,            ,16,1044,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.6138,DOLARES                                                                         ,FAC  ,1,0,14/01/2024,            ,10,Jessica Fonseca                         ,1044,F         ,0,0,18388.8072,0,0,0,Factura        ,NAL       ,0,28921
28922,15/11/2023,            ,16,493,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.6138,DOLARES                                                                         ,FAC  ,1,0,14/01/2024,            ,10,Jessica Fonseca                         ,493,F         ,0,0,8683.6034,0,0,0,Factura        ,NAL       ,0,28922
28923,15/11/2023,            ,16,239.25,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.6138,DOLARES                                                                         ,FAC  ,1,0,14/01/2024,            ,10,Jessica Fonseca                         ,239.25,F         ,0,0,4214.10165,0,0,0,Factura        ,NAL       ,0,28923
28924,15/11/2023,            ,16,853.76,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.6138,DOLARES                                                                         ,FAC  ,1,0,14/01/2024,            ,10,Jessica Fonseca                         ,853.76,F         ,0,0,15037.95789,0,0,0,Factura        ,NAL       ,0,28924
28925,15/11/2023,            ,16,304.5,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.6138,DOLARES                                                                         ,FAC  ,1,0,14/01/2024,            ,10,Jessica Fonseca                         ,304.5,F         ,0,0,5363.4021,0,0,0,Factura        ,NAL       ,0,28925
28994,23/11/2023,            ,16,1212.2,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.2102,DOLARES                                                                         ,FAC  ,1,0,22/01/2024,            ,10,Jessica Fonseca                         ,1212.2,F         ,0,20862.20444,0,0,0,0,Factura        ,NAL       ,0,28994
28995,23/11/2023,            ,16,1044,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.2102,DOLARES                                                                         ,FAC  ,1,0,22/01/2024,            ,10,Jessica Fonseca                         ,1044,F         ,0,17967.4488,0,0,0,0,Factura        ,NAL       ,0,28995
28996,23/11/2023,            ,16,239.25,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.2102,DOLARES                                                                         ,FAC  ,1,0,22/01/2024,            ,10,Jessica Fonseca                         ,239.25,F         ,0,4117.54035,0,0,0,0,Factura        ,NAL       ,0,28996
28997,23/11/2023,            ,16,4785,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.2102,DOLARES                                                                         ,FAC  ,1,0,22/01/2024,            ,10,Jessica Fonseca                         ,4785,F         ,0,82350.807,0,0,0,0,Factura        ,NAL       ,0,28997
28998,23/11/2023,            ,16,304.5,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.2102,DOLARES                                                                         ,FAC  ,1,0,22/01/2024,            ,10,Jessica Fonseca                         ,304.5,F         ,0,5240.5059,0,0,0,0,Factura        ,NAL       ,0,28998
29157,11/12/2023,            ,16,3150,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.4197,DOLARES                                                                         ,FAC  ,1,0,09/02/2024,            ,10,Jessica Fonseca                         ,3150,F         ,0,54872.055,0,0,0,0,Factura        ,NAL       ,0,29157
29158,11/12/2023,            ,16,916.4,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.4197,DOLARES                                                                         ,FAC  ,1,0,09/02/2024,            ,10,Jessica Fonseca                         ,916.4,F         ,0,15963.41308,0,0,0,0,Factura        ,NAL       ,0,29158
29171,12/12/2023,            ,16,2765,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.3688,DOLARES                                                                         ,FAC  ,1,0,10/02/2024,            ,10,Jessica Fonseca                         ,2765,F         ,0,48024.732,0,0,0,0,Factura        ,NAL       ,0,29171
29155,12/12/2023,            ,16,858.4,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.3688,DOLARES                                                                         ,FAC  ,1,0,10/02/2024,            ,10,Jessica Fonseca                         ,858.4,F         ,0,14909.37792,0,0,0,0,Factura        ,NAL       ,0,29155
29173,12/12/2023,            ,16,478.5,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.3688,DOLARES                                                                         ,FAC  ,1,0,10/02/2024,            ,10,Jessica Fonseca                         ,478.5,F         ,0,8310.9708,0,0,0,0,Factura        ,NAL       ,0,29173
29174,12/12/2023,            ,16,1212.2,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.3688,DOLARES                                                                         ,FAC  ,1,0,10/02/2024,            ,10,Jessica Fonseca                         ,1212.2,F         ,0,21054.45936,0,0,0,0,Factura        ,NAL       ,0,29174
29175,12/12/2023,            ,16,609,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.3688,DOLARES                                                                         ,FAC  ,1,0,10/02/2024,            ,10,Jessica Fonseca                         ,609,F         ,0,10577.5992,0,0,0,0,Factura        ,NAL       ,0,29175
29187,12/12/2023,            ,16,1067.2,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.3688,DOLARES                                                                         ,FAC  ,1,0,10/02/2024,            ,10,Jessica Fonseca                         ,1067.2,F         ,0,18535.98336,0,0,0,0,Factura        ,NAL       ,0,29187
29221,18/12/2023,            ,16,2061.9,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.299,DOLARES                                                                         ,FAC  ,1,0,16/02/2024,            ,10,Jessica Fonseca                         ,2061.9,F         ,0,35668.8081,0,0,0,0,Factura        ,NAL       ,0,29221
29223,18/12/2023,            ,16,1067.2,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.299,DOLARES                                                                         ,FAC  ,1,0,16/02/2024,            ,10,Jessica Fonseca                         ,1067.2,F         ,0,18461.4928,0,0,0,0,Factura        ,NAL       ,0,29223
29224,18/12/2023,            ,16,3080,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.299,DOLARES                                                                         ,FAC  ,1,0,16/02/2024,            ,10,Jessica Fonseca                         ,3080,F         ,0,53280.92,0,0,0,0,Factura        ,NAL       ,0,29224
29228,18/12/2023,            ,16,2925,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.299,DOLARES                                                                         ,FAC  ,1,0,16/02/2024,            ,10,Jessica Fonseca                         ,2925,F         ,0,50599.575,0,0,0,0,Factura        ,NAL       ,0,29228
29229,18/12/2023,            ,16,198.65,ADYCHEM S. DE R.L. DE C.V.                                                                                                                                                                                                                                    ,23/08/2010,250000,60,3627-1017 3627-0227            ,2,17.299,DOLARES                                                                         ,FAC  ,1,0,16/02/2024,            ,10,Jessica Fonseca                         ,198.65,F         ,0,3436.44635,0,0,0,0,Factura        ,NAL       ,0,29229
100888502B      ,06/10/2023,            ,1023,8042.9,AEROENLACES NACIONALES SA DE CV                                                                                                                                                                                                                               ,13/04/2018,0,0,3333-3333                      ,1,18.017,PESOS                                                                           ,FAC  ,1,0,12/10/2023,            ,4,CONTABILIDAD                            ,8042.9,F         ,0,0,0,0,0,8042.9,Factura        ,GTO       ,0,100888502B      
102191051B      ,30/10/2023,            ,1023,2471.37,AEROENLACES NACIONALES SA DE CV                                                                                                                                                                                                                               ,13/04/2018,0,0,3333-3333                      ,1,18.2178,PESOS                                                                           ,FAC  ,1,0,03/11/2023,            ,4,CONTABILIDAD                            ,3171.56,F         ,0,0,0,0,0,2471.37,Factura        ,GTO       ,0,102191051B      
102585181B      ,30/10/2023,            ,1023,4011.68,AEROENLACES NACIONALES SA DE CV                                                                                                                                                                                                                               ,13/04/2018,0,0,3333-3333                      ,1,18.2178,PESOS                                                                           ,FAC  ,1,0,13/11/2023,            ,4,CONTABILIDAD                            ,4011.68,F         ,0,0,0,0,0,4011.68,Factura        ,GTO       ,0,102585181B      
105135450B      ,01/12/2023,            ,1023,3853.7,AEROENLACES NACIONALES SA DE CV                                                                                                                                                                                                                               ,13/04/2018,0,0,3333-3333                      ,1,17.187,PESOS                                                                           ,FAC  ,1,0,04/12/2023,            ,4,CONTABILIDAD                            ,3853.7,F         ,0,0,0,0,0,3853.7,Factura        ,GTO       ,0,105135450B      
106364428B      ,15/12/2023,            ,1023,905.82,AEROENLACES NACIONALES SA DE CV                                                                                                                                                                                                                               ,13/04/2018,0,0,3333-3333                      ,1,17.398,PESOS                                                                           ,FAC  ,1,0,20/12/2023,            ,4,CONTABILIDAD                            ,905.82,F         ,0,0,0,0,0,905.82,Factura        ,GTO       ,0,106364428B      
106890802B      ,26/12/2023,            ,1023,4049.42,AEROENLACES NACIONALES SA DE CV                                                                                                                                                                                                                               ,13/04/2018,0,0,3333-3333                      ,1,17.059,PESOS                                                                           ,FAC  ,1,0,27/12/2023,            ,4,CONTABILIDAD                            ,4049.42,F         ,0,0,0,0,0,4049.42,Factura        ,GTO       ,0,106890802B      
107621825B      ,17/01/2024,            ,1023,4015.64,AEROENLACES NACIONALES SA DE CV                                                                                                                                                                                                                               ,13/04/2018,0,0,3333-3333                      ,1,16.8983,PESOS                                                                           ,FAC  ,1,0,18/01/2024,            ,4,CONTABILIDAD                            ,4015.64,F         ,0,0,4015.64,0,0,0,Factura        ,GTO       ,0,107621825B      
683,26/08/2022,            ,1995,17620.4,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.9437,PESOS                                                                           ,FAC  ,1,0,13/09/2022,            ,13,NO USAR                                 ,17620.4,F         ,0,0,0,0,0,17620.4,Factura        ,GTO       ,0,683
691,05/09/2022,            ,1995,12180,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.9753,PESOS                                                                           ,FAC  ,1,0,13/10/2022,            ,13,NO USAR                                 ,12180,F         ,0,0,0,0,0,12180,Factura        ,GTO       ,0,691
692,05/09/2022,            ,1995,17676.08,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.9753,PESOS                                                                           ,FAC  ,1,0,13/10/2022,            ,13,NO USAR                                 ,17676.08,F         ,0,0,0,0,0,17676.08,Factura        ,GTO       ,0,692
693,05/09/2022,            ,1995,18689.92,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.9753,PESOS                                                                           ,FAC  ,1,0,13/10/2022,            ,13,NO USAR                                 ,18689.92,F         ,0,0,0,0,0,18689.92,Factura        ,GTO       ,0,693
708,23/09/2022,            ,1995,1846.72,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.9608,PESOS                                                                           ,FAC  ,1,0,13/10/2022,            ,13,NO USAR                                 ,1846.72,F         ,0,0,0,0,0,1846.72,Factura        ,GTO       ,0,708
709,23/09/2022,            ,1995,21112,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.9608,PESOS                                                                           ,FAC  ,1,0,13/10/2022,            ,13,NO USAR                                 ,21112,F         ,0,0,0,0,0,21112,Factura        ,GTO       ,0,709
710,23/09/2022,            ,1995,42552.28,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.9608,PESOS                                                                           ,FAC  ,1,0,13/10/2022,            ,13,NO USAR                                 ,42552.28,F         ,0,0,0,0,0,42552.28,Factura        ,GTO       ,0,710
732,27/10/2022,            ,1995,65238.4,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.8553,PESOS                                                                           ,FAC  ,1,0,16/11/2022,            ,13,NO USAR                                 ,65238.4,F         ,0,0,0,0,0,65238.4,Factura        ,GTO       ,0,732
758,06/12/2022,            ,1995,21112,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,19.3422,PESOS                                                                           ,FAC  ,1,0,22/12/2022,            ,13,NO USAR                                 ,21112,F         ,0,0,0,0,0,21112,Factura        ,GTO       ,0,758
816AGI          ,24/02/2023,            ,1995,11533.88,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,18.4107,PESOS                                                                           ,FAC  ,1,0,15/03/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,11533.88,F         ,0,0,0,0,0,11533.88,Factura        ,GTO       ,0,816AGI          
817AGI          ,24/02/2023,            ,1995,13108,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,18.4107,PESOS                                                                           ,FAC  ,1,0,15/03/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,13108,F         ,0,0,0,0,0,13108,Factura        ,GTO       ,0,817AGI          
818AGI          ,24/02/2023,            ,1995,13108,"AGI MOLDES, S.A. DE C.V.                                                                                                                                                                                                                                      ",27/05/2021,50000,15,3686-5996 -                    ,1,18.4107,PESOS                                                                           ,FAC  ,1,0,15/03/2023,            ,15,NANCY LILIANA MURILLO LEDESMA           ,13108,F         ,0,0,0,0,0,13108,Factura        ,GTO       ,0,818AGI          
1077,12/06/2023,            ,2312,120000,AGORA ATELIER DE TAPIZADO                                                                                                                                                                                                                                     ,03/07/2023,0,0,-33,1,17.4085,PESOS                                                                           ,FAC  ,1,0,03/07/2023,            ,          ,                                        ,120000,F         ,0,0,0,0,0,120000,Factura        ,GTO       ,0,1077
1080,28/07/2023,            ,2312,120640,AGORA ATELIER DE TAPIZADO                                                                                                                                                                                                                                     ,03/07/2023,0,0,-33,1,16.8825,PESOS                                                                           ,FAC  ,1,0,02/08/2023,            ,          ,                                        ,120640,F         ,0,0,0,0,0,120640,Factura        ,GTO       ,0,1080
1081,28/07/2023,            ,2312,120640,AGORA ATELIER DE TAPIZADO                                                                                                                                                                                                                                     ,03/07/2023,0,0,-33,1,16.8825,PESOS                                                                           ,FAC  ,1,0,02/08/2023,            ,          ,                                        ,120640,F         ,0,0,0,0,0,120640,Factura        ,GTO       ,0,1081
1085,12/09/2023,            ,2312,226727,AGORA ATELIER DE TAPIZADO                                                                                                                                                                                                                                     ,03/07/2023,0,0,-33,1,17.5767,PESOS                                                                           ,FAC  ,1,0,03/10/2023,            ,          ,                                        ,226727,F         ,0,0,0,0,0,226727,Factura        ,GTO       ,0,1085
1087,27/10/2023,            ,2312,200000,AGORA ATELIER DE TAPIZADO                                                                                                                                                                                                                                     ,03/07/2023,0,0,-33,1,18.3122,PESOS                                                                           ,FAC  ,1,0,30/10/2023,            ,          ,                                        ,200000,F         ,0,0,0,0,0,200000,Factura        ,GTO       ,0,1087
9B1-30CA999060D2,18/08/2023,            ,1104,150.37,AIDA ARACELI VELASCO VAZQUEZ                                                                                                                                                                                                                                  ,27/06/2018,0,0,3333-3333                      ,1,17.0768,PESOS                                                                           ,FAC  ,1,0,31/08/2023,            ,4,CONTABILIDAD                            ,150.37,F         ,0,0,0,0,0,150.37,Factura        ,RET1      ,0,9B1-30CA999060D2
258797FAE       ,28/10/2022,            ,2088,2546.64,AIRMAR TRANSPORTES INTERNACIONALES S.A. DE C.V.                                                                                                                                                                                                               ,21/12/2021,0,0,-33,2,19.8365,DOLARES                                                                         ,FAC  ,1,0,15/03/2023,            ,          ,                                        ,9870,F         ,0,0,0,0,0,50516.42436,Factura        ,GTO       ,0,258797FAE       
276377FAE       ,06/06/2023,            ,2088,655,AIRMAR TRANSPORTES INTERNACIONALES S.A. DE C.V.                                                                                                                                                                                                               ,21/12/2021,0,0,-33,2,17.5063,DOLARES                                                                         ,FAC  ,1,0,04/07/2023,            ,          ,                                        ,655,F         ,0,0,0,0,0,11466.6265,Factura        ,GTO       ,0,276377FAE       
2262,05/12/2022,            ,200,922.97,ALARMAS PRETORIAN SA DE CV                                                                                                                                                                                                                                    ,20/08/2012,0,0,1111-1111                      ,1,19.1433,PESOS                                                                           ,FAC  ,1,0,05/12/2022,            ,          ,                                        ,922.97,F         ,0,0,0,0,0,922.97,Factura        ,GTO       ,0,2262
433A            ,04/07/2023,            ,200,996.81,ALARMAS PRETORIAN SA DE CV                                                                                                                                                                                                                                    ,20/08/2012,0,0,1111-1111                      ,1,17.1358,PESOS                                                                           ,FAC  ,1,0,04/07/2023,            ,          ,                                        ,996.81,F         ,0,0,0,0,0,996.81,Factura        ,GTO       ,0,433A            
559A            ,02/08/2023,            ,200,996.81,ALARMAS PRETORIAN SA DE CV                                                                                                                                                                                                                                    ,20/08/2012,0,0,1111-1111                      ,1,16.7303,PESOS                                                                           ,FAC  ,1,0,02/08/2023,            ,          ,                                        ,996.81,F         ,0,0,0,0,0,996.81,Factura        ,GTO       ,0,559A            
718A            ,06/09/2023,            ,200,996.81,ALARMAS PRETORIAN SA DE CV                                                                                                                                                                                                                                    ,20/08/2012,0,0,1111-1111                      ,1,17.175,PESOS                                                                           ,FAC  ,1,0,06/09/2023,            ,          ,                                        ,996.81,F         ,0,0,0,0,0,996.81,Factura        ,GTO       ,0,718A            
885A            ,02/10/2023,            ,200,996.81,ALARMAS PRETORIAN SA DE CV                                                                                                                                                                                                                                    ,20/08/2012,0,0,1111-1111                      ,1,17.6195,PESOS                                                                           ,FAC  ,1,0,02/10/2023,            ,          ,                                        ,996.81,F         ,0,0,0,0,0,996.81,Factura        ,GTO       ,0,885A            
1038A           ,11/10/2023,            ,200,996.81,ALARMAS PRETORIAN SA DE CV                                                                                                                                                                                                                                    ,20/08/2012,0,0,1111-1111                      ,1,18.3482,PESOS                                                                           ,FAC  ,1,0,11/10/2023,            ,          ,                                        ,996.81,F         ,0,0,0,0,0,996.81,Factura        ,GTO       ,0,1038A           
